game,rot,ordinal,nactive,set,declarer,declhand,rung,th,conf,correct,matched,violmask,violcap,violdisj,maxover,zeropost,pnamed,pbest,ptrue,bestistruth,nunknown,ncapseats,nnamedseats,ntrueseats,margspread,walloc,wok,wfeas,wtruth,named,truth
90,1,0,1,2,1,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,311313,311513
90,4,0,1,2,1,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,311313,311513
135,0,0,1,3,1,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,313555,315555
135,3,0,1,3,1,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,313555,315555
330,0,0,1,7,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,022202,024402
330,1,0,1,7,1,2,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,313331,513351
330,2,0,1,7,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,402220,402240
330,3,0,1,7,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,022202,024402
330,4,0,1,7,1,2,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,313331,513351
330,5,0,1,7,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,402220,402240
390,1,0,1,7,1,1,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,133333,153533
390,4,0,1,7,1,1,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,133333,153533
570,2,0,1,4,1,2,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,153313,153315
570,5,0,1,4,1,2,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,153313,153315
705,2,0,1,7,0,1,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,1,4,2,1,2,0,0,1,0,0,022242,022444
705,5,0,1,7,0,1,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,1,4,2,1,2,0,0,1,0,0,022242,022444
825,1,0,1,8,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,040044,020044
825,4,0,1,8,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,040044,020044
870,1,0,1,7,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,220020,220040
870,4,0,1,7,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,220020,220040
1050,1,0,1,7,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,422022,442022
1050,4,0,1,7,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,422022,442022
1170,2,0,1,7,0,1,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,222402,422404
1170,5,0,1,7,0,1,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,222402,422404
1200,2,0,1,6,0,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,200200,200400
1200,5,0,1,6,0,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,200200,200400
1215,2,0,1,7,0,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,202000,402000
1215,5,0,1,7,0,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,202000,402000
1395,1,0,1,3,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,222022,242022
1395,4,0,1,3,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,222022,242022
1785,1,0,1,6,0,2,7,-1,0,0,1,0,1,1,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,202402,204402
1785,4,0,1,6,0,2,7,-1,0,0,1,0,1,1,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,202402,204402
1815,0,0,1,7,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,440004,440002
1815,3,0,1,7,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,440004,440002
1875,0,0,1,8,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,1,4,2,1,2,0,0,1,0,0,220202,220404
1875,3,0,1,8,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,1,4,2,1,2,0,0,1,0,0,220202,220404
226,1,0,1,3,0,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,424204,444204
226,4,0,1,3,0,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,424204,444204
271,0,0,1,0,0,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,200402,200404
271,3,0,1,0,0,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,200402,200404
466,2,0,1,8,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,220222,220422
466,5,0,1,8,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,220222,220422
481,1,0,1,7,1,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,333135,335135
481,4,0,1,7,1,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,333135,335135
496,0,0,1,8,0,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,022442,042442
496,1,0,1,8,1,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,331111,531111
496,3,0,1,8,0,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,022442,042442
496,4,0,1,8,1,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,331111,531111
1021,2,0,1,6,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,244044,244042
1021,5,0,1,6,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,244044,244042
1201,2,0,1,5,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,220002,420002
