# FishBot v0.7 phase-2 adversary bank.  id, mechanism cluster, spec.
X01	inclass-linear	v06:allparams=9.60189|6.15330|3.83683|3.12220|6.65640|6.64437|1.29917|-0.63211|-2.07810|-4.73361|-3.36019|1.69692|2.23122|5.94852|0.89676|0.11936|5.11158|-0.59790|1.81511|-1.21220|0.86813|0.74469|0.29558|5.91993|2.55634|6.95324|0.68312|0.87672|-0.03021|0.40022|0.19007|5.73206|3.57881|3.69737|0.34414|-1.30664|0.01140
X02	inclass-linear	v06:allparams=10.65701|4.49654|2.81921|3.18930|2.32051|5.18461|1.94891|-1.98659|-3.49553|-7.03545|-3.76484|2.99829|1.35196|3.46434|2.59333|-0.81971|4.74162|-0.11169|2.33458|-4.33672|0.81349|0.74176|0.28516|5.41076|3.02993|7.00088|0.86686|0.86254|-0.02900|0.42256|0.09747|6.41678|3.15604|3.92501|0.32859|-0.35205|-0.54433
X05	urgency-declaration	v06:allparams=10.89837|3.57354|-0.11033|6.08470|4.52070|12.53318|3.04417|1.97172|-1.84251|-10.58477|2.01230|0.46190|3.88880|3.01613|0.32374|-4.31450|7.55703|-1.39547|0.49575|-1.17613|0.85372|0.76187|0.30551|2.77896|4.32900|2.06702|0.74807|0.85416|-0.02585|0.29919|0.18982|4.54382|2.95441|3.85802|0.00000|-0.16728|-1.53080
X13	deadask-turnrouting	v07:dead7=1,allparams=12.34003|5.77698|3.01280|3.15879|2.18166|6.93533|0.50231|-0.41603|-2.92129|-5.29695|-1.54504|1.21655|2.12483|4.67018|0.43247|-2.38785|4.18155|1.01245|1.61377|-1.50855|0.85344|0.74102|0.29524|5.64691|3.57890|8.97650|0.75725|0.81061|-0.01047|0.37589|0.16957|6.08466|3.50400|3.70347|0.71649|-0.73436|-1.76790|-1.51966|-0.33821|-0.29468|-0.52715|0.56908|-0.16538|0.01109|-1.18642|-1.61075|-0.23280|1.56231|-1.77070|0.61949|-1.43323|0.71314|-0.13769|-0.87270|0.82603
X14	correlated-roles	v07:corr=3,allparams=10.93235|3.84246|5.39019|3.44998|5.17941|7.80133|1.67007|-2.85106|-1.51045|-5.44792|-4.13674|0.72539|2.94226|4.69699|0.77276|-1.58619|4.68915|0.75792|2.01566|-0.34524|0.83417|0.75717|0.23269|4.65304|2.50029|7.23053|0.71549|0.84603|-0.02713|0.33723|0.14526|6.01071|3.13828|3.47756|0.71380|-0.65792|-0.64675|1.13249|0.84997|-0.02595|-0.97772|0.77239|0.64914|-1.32846|0.10564|1.33920|0.42725|-0.39210|0.53344|-0.49065|0.18453|0.40350|0.80095|-0.11058|-0.17790
X18	anti-search	v06:allparams=10.88642|5.45148|3.08622|2.60621|1.23358|6.71067|1.33987|0.10283|-0.07741|-5.89914|-4.22573|2.19085|0.67779|3.42813|2.83997|-0.73452|6.80792|1.70377|1.81262|-5.88808|0.84584|0.74827|0.24368|4.15674|3.39203|5.50852|0.75888|0.81736|-0.02002|0.38967|0.15473|6.10077|2.79653|4.31269|0.63762|-0.47487|-0.73261
X19	anti-search	v07:allparams=11.90973|5.10285|3.79787|4.68431|5.03594|6.53904|2.42998|-3.60159|0.60227|-6.32793|-4.10994|4.09715|1.96420|2.87094|2.70326|-3.45437|6.13578|2.60901|1.56419|-0.15871|0.89140|0.78455|0.28203|5.84185|4.08793|7.29313|0.74685|0.85662|0.00626|0.31415|0.16895|6.57964|3.56123|2.87382|0.28615|-0.82285|-0.44528|0.01913|0.19079|1.13799|0.01002|0.26180|-5.08337|-3.55960|-0.51891|0.32973|-0.02614|-0.51136|-2.42249|-2.35728|1.40163|0.16864|1.62051|-0.31322|3.00575
X20	urgency-declaration	v06:allparams=9.10781|5.80946|2.71487|4.25643|5.52995|8.38937|1.54463|0.12591|0.19814|-7.71403|-1.32504|0.02234|5.53270|4.96234|5.10946|0.19713|3.41871|-2.44487|0.06519|1.63428|0.87653|0.79292|0.17127|3.09941|3.22193|6.38536|0.82793|0.84624|0.00361|0.22748|0.18001|4.76864|2.55898|3.85779|0.00000|-0.31563|-2.28829
MC1	consensus-median	v06:allparams=10.65701|4.49654|2.81921|3.18930|4.52070|6.64437|1.94891|-0.63211|-2.07810|-7.03545|-3.36019|1.69692|2.23122|3.46434|0.89676|-0.81971|5.11158|-0.59790|1.81511|-1.21220|0.85372|0.74469|0.29558|5.41076|3.02993|6.95324|0.74807|0.86254|-0.02900|0.40022|0.18982|5.73206|3.15604|3.85802|0.32859|-0.35205|-0.54433
X01xC5	cross-inclass-whitebox	v07i:allparams=9.60189|6.15330|3.83683|3.12220|6.65640|6.64437|1.29917|-0.63211|-2.07810|-4.73361|-3.36019|1.69692|2.23122|5.94852|0.89676|0.11936|5.11158|-0.59790|1.81511|-1.21220|0.86813|0.74469|0.29558|5.91993|2.55634|6.95324|0.68312|0.87672|-0.03021|0.40022|0.19007|5.73206|3.57881|3.69737|0.34414|-1.30664|0.01140,idet=48,imodel=v06
