deal,rot,event,seat,team,kind,card,target,set,hit,ownLocked,oppLocked,truthHolder,dead,gateBound,searched,changed,nCand,nTie,nFeasible,p,margin,score,pAlloc,unresolved
0,0,65,4,0,0,37,5,6,1,0,0,5,0,0,0,0,23,1,0,0.370025,1.364314,11.464085,-1.000000,20
0,0,66,4,0,0,36,1,6,0,0,0,2,0,0,0,0,21,3,0,0.103745,0.000000,12.433170,-1.000000,19
0,0,68,2,0,0,41,5,6,0,0,0,3,0,0,0,0,42,4,0,0.121431,0.000000,11.120923,-1.000000,19
0,0,72,4,0,0,36,5,6,1,0,0,5,0,0,0,0,19,3,0,1.000000,0.000000,23.057648,-1.000000,17
0,0,73,4,0,0,37,5,6,1,0,0,5,0,0,0,0,18,2,0,1.000000,0.000000,24.191366,-1.000000,17
0,0,74,4,0,0,39,5,6,1,0,0,5,0,0,0,0,17,1,0,1.000000,13.691157,27.170515,-1.000000,17
0,0,75,4,0,0,41,1,6,0,0,0,3,0,0,0,0,14,1,0,0.267769,0.337663,18.083181,-1.000000,16
0,0,77,2,0,0,33,5,5,0,0,0,0,0,0,0,0,30,10,0,0.153960,0.000000,3.559925,-1.000000,18
0,0,79,2,0,0,30,5,5,0,0,0,4,0,0,0,0,29,4,0,0.155473,0.000000,11.188237,-1.000000,18
0,0,82,4,0,0,41,3,6,1,0,0,3,0,0,0,0,12,1,0,0.333333,7.319057,19.211742,-1.000000,11
0,0,83,0,0,1,-1,-1,6,1,1,0,-1,0,0,0,0,10,0,11,0.753329,0.000000,0.000000,0.753329,10
0,0,84,4,0,0,33,1,5,0,0,0,0,0,0,0,0,11,1,0,0.285714,1.363751,12.524023,-1.000000,10
0,0,88,2,0,0,30,1,5,1,0,0,1,0,0,0,0,25,2,0,1.000000,0.000000,23.418974,-1.000000,8
0,0,89,2,0,0,33,1,5,1,0,0,1,0,0,0,0,24,1,0,1.000000,5.684207,24.436834,-1.000000,8
0,0,90,2,0,0,32,1,5,0,0,0,0,0,0,0,0,23,2,0,0.724238,0.000000,20.312937,-1.000000,8
0,0,95,0,0,0,30,1,5,1,0,0,1,0,0,0,0,20,4,0,1.000000,0.000000,20.398401,-1.000000,6
0,0,96,0,0,0,33,1,5,1,0,0,1,0,0,0,0,19,3,0,1.000000,0.000000,24.096010,-1.000000,6
0,0,97,0,0,0,34,1,5,1,0,0,1,0,0,0,0,18,2,0,1.000000,0.000000,25.217083,-1.000000,6
0,0,98,0,0,0,35,1,5,1,0,0,1,0,0,0,0,15,1,0,1.000000,11.706851,27.408472,-1.000000,5
0,0,99,4,0,1,-1,-1,5,1,1,0,-1,0,0,0,0,7,0,0,1.000000,0.000000,0.000000,1.000000,7
0,0,100,0,0,0,42,1,7,0,0,0,3,0,0,0,0,12,12,0,0.250000,0.000000,5.019962,-1.000000,4
0,0,103,0,0,0,43,1,7,1,0,0,1,0,0,0,0,11,1,0,1.000000,8.396313,23.652653,-1.000000,4
0,0,104,0,0,0,45,1,7,1,0,0,1,0,0,0,0,10,2,0,0.500038,0.000000,16.906118,-1.000000,4
0,0,105,0,0,0,42,3,7,1,0,0,3,0,0,0,0,6,6,0,0.333333,0.000000,15.429724,-1.000000,3
0,0,106,0,0,0,44,5,7,1,0,0,5,0,0,0,0,2,2,0,0.500000,0.000000,20.434811,-1.000000,2
0,0,107,0,0,1,-1,-1,7,1,1,0,-1,0,0,0,0,0,0,1,1.000000,0.000000,0.000000,1.000000,0
0,1,1,1,1,0,12,2,2,1,0,0,2,0,0,0,0,80,4,0,0.476089,0.000000,1.507280,-1.000000,45
0,1,2,1,1,0,17,2,2,1,0,0,2,0,0,0,0,77,3,0,0.268649,0.000000,8.180389,-1.000000,44
0,1,3,1,1,0,13,2,2,0,0,0,3,0,0,0,0,74,2,0,0.245593,0.000000,9.769048,-1.000000,43
0,1,11,1,1,0,19,2,3,1,0,0,2,0,0,0,0,65,4,0,0.443987,0.000000,1.035425,-1.000000,40
0,1,12,1,1,0,23,2,3,0,0,0,4,0,0,0,0,62,3,0,0.194750,0.000000,7.347075,-1.000000,39
0,1,15,1,1,0,19,2,3,1,0,0,2,0,0,0,0,61,2,0,1.000000,0.000000,18.637766,-1.000000,39
0,1,16,1,1,0,21,2,3,1,0,0,2,0,0,0,0,60,1,0,1.000000,12.863071,19.730350,-1.000000,39
0,1,17,1,1,0,18,0,3,0,0,0,5,0,0,0,0,57,6,0,0.264706,0.000000,8.148817,-1.000000,38
0,1,19,3,1,0,18,4,3,0,0,0,5,0,0,0,0,92,1,0,0.529412,1.140155,10.143000,-1.000000,38
0,1,27,3,1,0,0,0,0,1,0,0,0,0,0,0,0,85,3,0,0.603017,0.000000,3.320237,-1.000000,35
0,1,28,3,1,0,4,0,0,1,0,0,0,0,0,0,0,82,2,0,0.351505,0.000000,9.740883,-1.000000,34
0,1,29,3,1,0,5,0,0,1,0,0,0,0,0,0,0,79,1,0,0.325314,2.349294,12.166131,-1.000000,33
0,1,30,3,1,0,1,4,0,0,0,0,2,0,0,0,0,76,1,0,0.276521,1.038803,13.249404,-1.000000,32
0,1,32,1,1,0,29,0,4,0,0,0,4,0,0,0,0,51,3,0,0.211702,0.000000,0.982183,-1.000000,32
0,1,34,1,1,0,24,0,4,0,0,0,3,0,0,0,0,50,2,0,0.183605,0.000000,8.998762,-1.000000,32
0,1,37,5,1,0,11,0,1,0,1,0,1,0,0,0,0,36,3,0,0.191047,0.000000,0.340630,-1.000000,32
0,1,39,5,1,0,6,0,1,0,1,0,1,0,0,0,0,35,2,0,0.202058,0.000000,8.488331,-1.000000,32
0,1,41,5,1,0,8,0,1,0,1,0,3,0,0,0,0,34,1,0,0.230478,0.732955,9.199229,-1.000000,32
0,1,43,5,1,0,6,4,1,0,1,0,1,0,0,0,0,33,3,0,0.298391,0.000000,8.905112,-1.000000,32
0,1,45,1,1,0,28,0,4,1,0,0,0,0,0,0,0,48,1,0,0.272384,0.358759,9.646480,-1.000000,31
0,1,46,1,1,0,24,4,4,0,0,0,3,0,0,0,0,45,2,0,0.334976,0.000000,11.109333,-1.000000,30
0,1,54,5,1,0,6,2,1,0,1,0,1,0,0,0,0,32,1,0,0.295530,0.486180,8.580785,-1.000000,23
0,1,62,1,1,0,8,4,1,0,1,0,3,0,0,0,0,41,1,0,0.457721,2.183736,8.156557,-1.000000,21
0,1,67,1,1,0,8,2,1,0,1,0,3,0,0,0,0,40,1,0,0.364556,5.500150,10.066149,-1.000000,19
0,1,69,5,1,0,37,4,6,1,0,0,4,0,0,0,0,28,1,0,1.000000,0.319107,9.182915,-1.000000,17
0,1,70,5,1,0,36,2,6,1,0,0,2,0,0,0,0,27,1,0,0.972246,2.515726,15.240351,-1.000000,17
0,1,71,5,1,0,41,4,6,0,0,0,3,0,0,0,0,25,1,0,0.708825,2.218463,12.263884,-1.000000,16
0,1,76,1,1,0,7,2,1,0,1,0,5,0,0,0,0,39,3,0,0.037138,0.000000,6.052319,-1.000000,16
0,1,78,5,1,0,11,2,1,0,1,0,1,0,0,0,0,17,1,0,0.037356,0.781729,5.695646,-1.000000,16
0,1,80,5,1,0,11,4,1,0,1,0,1,0,1,0,0,16,1,0,0.100753,10.201007,7.443022,-1.000000,16
0,1,81,5,1,1,-1,-1,1,1,1,0,-1,0,0,0,0,16,0,4,0.811536,0.000000,0.000000,0.811536,16
0,1,85,1,1,0,30,4,5,1,0,0,4,0,0,0,0,27,1,0,0.815885,0.739121,4.394606,-1.000000,10
0,1,86,1,1,0,33,0,5,1,0,0,0,0,0,0,0,25,1,0,0.800000,2.519387,11.921877,-1.000000,9
0,1,87,1,1,0,31,2,5,0,0,0,4,0,0,0,0,24,3,0,0.554028,0.000000,10.252809,-1.000000,8
0,1,91,1,1,0,30,2,5,1,0,0,2,0,0,0,0,24,3,0,1.000000,0.000000,16.836140,-1.000000,8
0,1,92,1,1,0,33,2,5,1,0,0,2,0,0,0,0,23,2,0,1.000000,0.000000,18.047171,-1.000000,8
0,1,93,1,1,0,35,2,5,1,0,0,2,0,0,0,0,22,1,0,1.000000,9.939840,19.373768,-1.000000,8
0,1,94,1,1,0,31,0,5,0,0,0,4,0,0,0,0,19,2,0,0.500000,0.000000,11.412350,-1.000000,7
0,1,101,1,1,0,43,0,7,1,0,0,0,0,0,0,0,9,4,0,0.500000,0.000000,-0.021325,-1.000000,5
0,1,102,1,1,0,44,0,7,0,0,0,5,0,0,0,0,7,3,0,0.333333,0.000000,7.578902,-1.000000,4
1,0,1,0,0,0,29,3,4,1,0,0,3,0,0,0,0,80,4,0,0.476089,0.000000,1.465702,-1.000000,45
1,0,2,0,0,0,28,3,4,1,0,0,3,0,0,0,0,77,3,0,0.268649,0.000000,8.139289,-1.000000,44
1,0,3,0,0,0,27,3,4,0,0,0,4,0,0,0,0,74,2,0,0.245593,0.000000,9.724618,-1.000000,43
1,0,10,2,0,0,39,1,6,0,1,0,4,0,0,0,0,63,3,0,0.238787,0.000000,-0.319603,-1.000000,39
1,0,12,2,0,0,39,5,6,0,1,0,4,0,0,0,0,61,1,0,0.278917,0.171805,8.232562,-1.000000,39
1,0,14,0,0,0,39,3,6,0,1,0,4,0,0,0,0,63,1,0,0.382964,4.557520,8.975648,-1.000000,40
1,0,17,0,0,0,38,1,6,0,1,0,2,0,0,0,0,62,3,0,0.092203,0.000000,7.961848,-1.000000,38
1,0,19,4,0,0,41,1,6,0,1,0,2,0,0,0,0,68,4,0,0.064900,0.000000,3.479941,-1.000000,40
1,0,21,0,0,0,40,5,6,0,1,0,2,0,0,0,0,60,1,0,0.096643,0.102636,8.624211,-1.000000,38
1,0,23,4,0,0,40,1,6,0,1,0,2,0,0,0,0,66,1,0,0.124233,0.124505,7.031080,-1.000000,40
1,0,26,2,0,0,37,3,6,0,1,0,0,0,0,0,0,45,2,0,0.010796,0.000000,8.569067,-1.000000,37
1,0,30,4,0,0,38,5,6,0,1,0,2,0,0,0,0,64,1,0,0.133650,0.341802,7.191116,-1.000000,34
1,0,32,4,0,0,36,1,6,0,1,0,0,0,0,0,0,63,1,0,0.067653,0.137079,6.818029,-1.000000,34
1,0,34,4,0,0,40,3,6,0,1,0,2,0,0,0,0,62,2,0,0.072501,0.000000,6.901071,-1.000000,34
1,0,36,4,0,0,38,3,6,0,1,0,2,0,0,0,0,61,1,0,0.110883,0.954381,8.198620,-1.000000,33
1,0,38,4,0,0,41,3,6,0,1,0,2,0,0,0,0,60,2,0,0.040939,0.000000,8.155910,-1.000000,32
1,0,39,2,0,1,-1,-1,6,0,1,0,-1,0,0,0,0,32,0,2,0.849907,0.000000,0.000000,0.849907,32
1,0,41,0,0,0,7,1,1,1,0,0,1,0,0,0,0,39,8,0,0.188975,0.000000,-2.594281,-1.000000,30
1,0,43,0,0,0,6,5,1,0,1,0,4,0,0,0,0,36,3,0,0.213552,0.000000,6.499065,-1.000000,24
1,0,45,4,0,0,9,1,1,0,1,0,2,0,0,0,0,51,3,0,0.095516,0.000000,4.287250,-1.000000,23
1,0,47,2,0,0,8,5,1,0,1,0,0,0,0,0,0,35,3,0,0.066465,0.000000,3.497847,-1.000000,24
1,0,49,4,0,0,11,3,1,0,1,0,0,0,0,0,0,49,1,0,0.032859,0.136422,7.370263,-1.000000,23
